"","Year","Type.of.Death","Tot","pop.mex","rate"
"1",1990,"Accidente",34424,83971014,40.995098618197
"5",1991,"Accidente",35257,85583336,41.1961038770445
"9",1992,"Accidente",34818,87184832,39.9358457214209
"13",1993,"Accidente",33773,88752014,38.0532209669067
"17",1994,"Accidente",36575,90265775,40.5192333417621
"21",1995,"Accidente",35008,91724528,38.1664542334849
"25",1996,"Accidente",34598,93130089,37.1501846197097
"29",1997,"Accidente",35508,94478046,37.5833344394104
"33",1998,"Accidente",34956,95790135,36.4922755354714
"37",1999,"Accidente",35308,97114831,36.3569597315162
"41",2000,"Accidente",35048,98438557,35.6039351531738
"45",2001,"Accidente",35158,99715527,35.2583003447397
"49",2002,"Accidente",35354,100909374,35.0353972070028
"53",2003,"Accidente",35115,101999555,34.4266207828064
"57",2004,"Accidente",34852,103001867,33.8362798802472
"62",2005,"Accidente",35934,103946866,34.5695848107628
"67",2006,"Accidente",36318,104874282,34.6300344635494
"72",2007,"Accidente",39066,105790725,36.927622908341
"77",2008,"Accidente",37835,106682518,35.4650421730766
