"","Year","Type.of.Death","Tot","pop.mex","rate"
"2",1990,"Homicidio",11500,83971014,13.6952020133995
"6",1991,"Homicidio",12656,85583336,14.7879255372798
"10",1992,"Homicidio",13769,87184832,15.7928847072849
"14",1993,"Homicidio",13521,88752014,15.2345838596970
"18",1994,"Homicidio",15654,90265775,17.3421210863143
"22",1995,"Homicidio",15394,91724528,16.7828609595026
"26",1996,"Homicidio",14349,93130089,15.4074801753921
"30",1997,"Homicidio",13365,94478046,14.1461435389974
"34",1998,"Homicidio",13545,95790135,14.1402869930186
"38",1999,"Homicidio",12098,97114831,12.4574175493339
"42",2000,"Homicidio",10642,98438557,10.8108045509038
"46",2001,"Homicidio",10206,99715527,10.2351161419425
"50",2002,"Homicidio",10020,100909374,9.92970187289042
"54",2003,"Homicidio",9997,101999555,9.80102315152257
"58",2004,"Homicidio",9332,103001867,9.06002995071924
"63",2005,"Homicidio",9933,103946866,9.5558436557385
"68",2006,"Homicidio",10400,104874282,9.91663523379354
"73",2007,"Homicidio",8800,105790725,8.31830956825374
"78",2008,"Homicidio",13628,106682518,12.7743516515049
