Code,County,Total,Hombre,Mujer
 ,Estados Unidos Mexicanos,103263388,50249955,53013433
#NAME?,Aguascalientes,1065416,515364,550052
 01 001 ,Aguascalientes,723043,349203,373840
 01 002 ,Asientos,40547,19853,20694
 01 003 ,Calvillo,50183,24018,26165
 01 004 ,Cosío,13687,6540,7147
 01 010 ,El Llano,17115,8552,8563
 01 005 ,Jesús María,82623,40556,42067
 01 006 ,Pabellón de Arteaga,38912,18799,20113
 01 007 ,Rincón de Romos,45471,21918,23553
 01 011 ,San Francisco de los Romo,28832,14007,14825
 01 008 ,San José de Gracia,7631,3600,4031
 01 009 ,Tepezalá,17372,8318,9054
#NAME?,Baja California,2844469,1431789,1412680
 02 001 ,Ensenada,413481,206978,206503
 02 002 ,Mexicali,855962,430438,425524
 02 005 ,Playas de Rosarito,73305,37254,36051
 02 003 ,Tecate,91034,48032,43002
 02 004 ,Tijuana,1410687,709087,701600
#NAME?,Baja California Sur,512170,261288,250882
 03 001 ,Comondú,63830,32157,31673
 03 003 ,La Paz,219596,109827,109769
 03 009 ,Loreto,11839,6022,5817
 03 008 ,Los Cabos,164162,85662,78500
 03 002 ,Mulegé,52743,27620,25123
#NAME?,Campeche,754730,373457,381273
 04 010 ,Calakmul,23814,12140,11674
 04 001 ,Calkiní,49850,24674,25176
 04 002 ,Campeche,238850,115531,123319
 04 011 ,Candelaria,37006,18591,18415
 04 003 ,Carmen,199988,99738,100250
 04 004 ,Champotón,76116,38165,37951
 04 009 ,Escárcega,50106,24519,25587
 04 005 ,Hecelchakán,26973,13514,13459
 04 006 ,Hopelchén,34687,17711,16976
 04 007 ,Palizada,8290,4229,4061
 04 008 ,Tenabo,9050,4645,4405
#NAME?,Coahuila de Zaragoza,2495200,1236880,1258320
 05 001 ,Abasolo,991,492,499
 05 002 ,Acuña,126238,63595,62643
 05 003 ,Allende,20153,9863,10290
 05 004 ,Arteaga,19622,10008,9614
 05 005 ,Candela,1672,873,799
 05 006 ,Castaños,23871,11826,12045
 05 007 ,Cuatro Ciénegas,12220,6176,6044
 05 008 ,Escobedo,2778,1384,1394
 05 009 ,Francisco I. Madero,51528,25566,25962
 05 010 ,Frontera,70160,35044,35116
 05 011 ,General Cepeda,11284,5875,5409
 05 012 ,Guerrero,1877,1033,844
 05 013 ,Hidalgo,1516,819,697
 05 014 ,Jiménez,9768,4958,4810
 05 015 ,Juárez,1393,698,695
 05 016 ,Lamadrid,1708,870,838
 05 017 ,Matamoros,99707,49508,50199
 05 018 ,Monclova,200160,99385,100775
 05 019 ,Morelos,7221,3655,3566
 05 020 ,Múzquiz,62710,31331,31379
 05 021 ,Nadadores,5822,2950,2872
 05 022 ,Nava,25856,13173,12683
 05 023 ,Ocampo,10183,5286,4897
 05 024 ,Parras,44715,22649,22066
 05 025 ,Piedras Negras,143915,71489,72426
 05 026 ,Progreso,3379,1726,1653
 05 027 ,Ramos Arizpe,56708,28800,27908
 05 028 ,Sabinas,53042,26237,26805
 05 029 ,Sacramento,2063,1055,1008
 05 030 ,Saltillo,648929,321593,327336
 05 031 ,San Buenaventura,19620,9751,9869
 05 032 ,San Juan de Sabinas,40115,19703,20412
 05 033 ,San Pedro,93677,46634,47043
 05 034 ,Sierra Mojada,5245,2722,2523
 05 035 ,Torreón,577477,281123,296354
 05 036 ,Viesca,19328,9695,9633
 05 037 ,Villa Unión,6138,3122,3016
 05 038 ,Zaragoza,12411,6213,6198
#NAME?,Colima,567996,280005,287991
 06 001 ,Armería,24939,12326,12613
 06 002 ,Colima,132273,64136,68137
 06 003 ,Comala,19495,9660,9835
 06 004 ,Coquimatlán,17363,8618,8745
 06 005 ,Cuauhtémoc,25576,12615,12961
 06 006 ,Ixtlahuacán,4759,2333,2426
 06 007 ,Manzanillo,137842,68955,68887
 06 008 ,Minatitlán,7478,3825,3653
 06 009 ,Tecomán,98150,49002,49148
 06 010 ,Villa de Álvarez,100121,48535,51586
#NAME?,Chiapas,4293459,2108830,2184629
 07 001 ,Acacoyagua,14653,7295,7358
 07 002 ,Acala,26003,13047,12956
 07 003 ,Acapetahua,24165,11993,12172
 07 113 ,Aldama,4906,2402,2504
 07 004 ,Altamirano,24725,12499,12226
 07 005 ,Amatán,19637,9931,9706
 07 006 ,Amatenango de la Frontera,25346,12186,13160
 07 007 ,Amatenango del Valle,8506,4152,4354
 07 008 ,Angel Albino Corzo,28883,14568,14315
 07 009 ,Arriaga,38572,18815,19757
 07 010 ,Bejucal de Ocampo,6612,3309,3303
 07 011 ,Bella Vista,17553,8599,8954
 07 114 ,Benemérito de las Américas,15213,7695,7518
 07 012 ,Berriozábal,33842,17359,16483
 07 013 ,Bochil,26446,13178,13268
 07 015 ,Cacahoatán,40975,19969,21006
 07 016 ,Catazajá,15876,8114,7762
 07 022 ,Chalchihuitán,13295,6652,6643
 07 023 ,Chamula,67085,32029,35056
 07 024 ,Chanal,9050,4455,4595
 07 025 ,Chapultenango,7124,3526,3598
 07 026 ,Chenalhó,31788,15721,16067
 07 027 ,Chiapa de Corzo,73552,36553,36999
 07 028 ,Chiapilla,4957,2548,2409
 07 029 ,Chicoasén,5112,2590,2522
 07 030 ,Chicomuselo,28260,13970,14290
 07 031 ,Chilón,95907,47838,48069
 07 017 ,Cintalapa,73668,37434,36234
 07 018 ,Coapilla,7681,3837,3844
 07 019 ,Comitán de Domínguez,121263,58237,63026
 07 021 ,Copainalá,20257,9963,10294
 07 014 ,El Bosque,14932,7307,7625
 07 070 ,El Porvenir,12831,6444,6387
 07 032 ,Escuintla,27364,13244,14120
 07 033 ,Francisco León,6454,3229,3225
 07 034 ,Frontera Comalapa,57580,27349,30231
 07 035 ,Frontera Hidalgo,10902,5369,5533
 07 037 ,Huehuetán,30450,14720,15730
 07 039 ,Huitiupán,20087,10070,10017
 07 038 ,Huixtán,19018,9342,9676
 07 040 ,Huixtla,47953,23101,24852
 07 042 ,Ixhuatán,8734,4279,4455
 07 043 ,Ixtacomitán,9696,4803,4893
 07 044 ,Ixtapa,21705,10824,10881
 07 045 ,Ixtapangajoya,4911,2465,2446
 07 046 ,Jiquipilas,35831,17841,17990
 07 047 ,Jitotol,15005,7655,7350
 07 048 ,Juárez,20173,10075,10098
 07 020 ,La Concordia,40189,20174,20015
 07 036 ,La Grandeza,6723,3353,3370
 07 041 ,La Independencia,36951,17881,19070
 07 050 ,La Libertad,5286,2616,2670
 07 099 ,La Trinitaria,60417,29110,31307
 07 049 ,Larráinzar,17320,8527,8793
 07 052 ,Las Margaritas,98374,48675,49699
 07 075 ,Las Rosas,24969,12360,12609
 07 051 ,Mapastepec,37945,18623,19322
 07 115 ,Maravilla Tenejapa,10906,5598,5308
 07 116 ,Marqués de Comillas,8538,4377,4161
 07 053 ,Mazapa de Madero,6845,3395,3450
 07 054 ,Mazatán,24017,11994,12023
 07 055 ,Metapa,4806,2357,2449
 07 056 ,Mitontic,9042,4390,4652
