State,2000,2001,2002,2003,2004,2005,2006,2007,2008
Aguascalientes,4,8,9,7,7,7,10,23,38
Baja California,281,248,282,271,308,276,301,246,783
Baja California Sur,11,7,15,9,17,18,13,12,8
Campeche,13,11,16,13,18,13,9,22,17
Coahuila de Zaragoza,60,73,70,52,46,60,42,50,95
Colima,23,25,27,16,23,19,22,18,28
Chiapas,134,54,103,111,72,144,170,31,59
Chihuahua,367,348,379,305,241,330,392,280,2128
Distrito Federal,555,599,572,535,517,473,460,494,443
Durango,104,122,122,136,113,121,109,122,277
Guanajuato,117,112,107,106,87,108,100,104,165
Guerrero,539,434,428,409,406,381,554,523,618
Hidalgo,46,66,43,59,49,49,29,36,51
Jalisco,285,298,279,311,247,267,287,262,342
México,652,647,672,630,523,574,590,562,741
Michoacán de Ocampo,450,427,374,395,400,490,774,426,402
Morelos,133,119,102,91,65,66,75,69,125
Nayarit,57,63,104,66,81,82,53,65,100
Nuevo León,47,34,50,69,38,70,92,171,119
Oaxaca,372,331,316,320,333,304,314,311,375
Puebla,196,185,153,144,149,154,168,126,174
Querétaro,31,34,24,35,30,29,21,23,26
Quintana Roo,13,18,9,15,26,9,24,37,26
San Luis Potosí,71,75,71,66,75,66,80,71,113
Sinaloa,352,394,366,346,320,376,376,302,666
Sonora,100,144,119,110,161,162,148,219,282
Tabasco,17,33,25,32,32,31,46,57,48
Tamaulipas,143,110,95,145,120,218,218,81,109
Tlaxcala,15,15,14,12,17,16,16,13,20
Veracruz de Ignacio de la Llave,147,147,118,163,134,155,151,158,131
Yucatán,8,8,8,13,3,7,12,15,10
Zacatecas,50,57,57,55,54,50,47,47,53
