State,INEGI,ICESI
Aguascalientes,58,63
Baja California,1027,853
Baja California Sur,38,28
Campeche,50,45
Chiapas,258,364
Chihuahua,2567,1414
Coahuila de Zaragoza,171,179
Colima,55,33
Distrito Federal,912,713
Durango,408,430
Guanajuato,292,257
Guerrero,941,951
Hidalgo,72,139
Jalisco,541,462
México,1559,1261
Michoacán de Ocampo,624,565
Morelos,209,135
Nayarit,147,147
Nuevo León,231,263
Oaxaca,578,733
Puebla,344,429
Querétaro,71,58
Quintana Roo,143,192
San Luis Potosí,193,218
Sinaloa,782,1156
Sonora,428,393
Tabasco,150,148
Tamaulipas,257,308
Tlaxcala,54,42
Veracruz de Ignacio de la Llave,327,477
Yucatán,49,47
Zacatecas,92,74
